Status,Address,StreetNumber,StreetName,City,PostalCode,Lat,Long,ListPrice,ClosePrice,ListingContractDate,CloseDate,SqFtTotal,PriceSqFtList,PriceSqFtSold,LotSize,YearBuilt,BedsTotal,BathsTotal,Stories,NewConstruction,Style,DOM,CDOM,SoldTermsNew,HOAMandatory,TaxAmount
Sold,1327 North Loop,1327,North,Houston,77022,29.814597,-95.381352,25000,20000,1999-09-01,2000-12-08,781,32.01,25.61,3180,1940,2,1,1,FALSE,Other Style,59,59,Cash Sale,UNKNOWN,705
Sold,1015 North Loop,1015,North,Houston,77022,29.8148032,-95.3848963,39900,37500,2005-07-13,2005-08-11,964,41.39,38.9,4000,1940,2,1,1,FALSE,Traditional,0,0,Cash Sale,UNKNOWN,886
Sold,742 E 8 1/2,742,8 1/2,Houston,77008,29.7859962,-95.388127,54900,45000,1998-02-02,1998-02-19,1208,8.78,37.25,6250,1920,2,1,1,FALSE,Victorian,1,1,Owner 1st,UNKNOWN,1183
Sold,2712 Florence,2712,Florence,Houston,77009,29.7829219,-95.3750006,47000,47000,1996-09-05,1997-04-18,0,0,0,0,1890,2,1,1,FALSE,Traditional,221,221,Cash Sale,UNKNOWN,1412
Sold,546 Threlkeld,546,Threlkeld,Houston,77007,29.7810778,-95.3882088,54500,54500,1997-07-07,1997-08-14,972,56.07,56.07,4950,1920,2,1,1,FALSE,Traditional,17,17,Conventional,UNKNOWN,1473
Sold,1860 White Oak Unit#330,1860,White Oak,Houston,77009,29.7824231,-95.3765265,54650,54650,1999-07-14,1999-08-24,975,56.05,56.05,0,1982,2,2,1,FALSE,Traditional,5,5,FHA,UNKNOWN,1342
Sold,717 E 7 1/2,717,7 1/2,Houston,77007,29.7846042,-95.3890236,59000,56000,1997-05-28,1997-08-25,1124,9.44,49.82,6250,1920,2,1,1,FALSE,Traditional,0,0,Conventional,UNKNOWN,1305
Sold,620 E 6 1/2 Btsa,620,6 1/2 Btsa,Houston,77007,29.7822757,-95.3909081,59900,57000,1997-04-10,1997-07-02,1297,46.18,43.95,4688,1920,2,1,1,FALSE,Traditional,81,81,FHA,UNKNOWN,1324
Sold,412 E 7,412,7,Houston,77007,29.7832113,-95.393403,59000,58500,1997-01-06,1997-07-10,780,75.64,75,2500,1920,2,1,1,FALSE,Traditional,157,157,Conventional,UNKNOWN,792
Sold,721 E 8 1/2,721,8 1/2,Houston,77007,29.786459,-95.3889143,64500,59000,1995-12-13,1997-03-19,1016,63.48,58.07,0,1920,2,1,1,FALSE,Traditional,432,432,Cash Sale,UNKNOWN,1375
Sold,1327 North Loop,1327,North,Houston,77022,29.814597,-95.381352,59500,59500,2000-03-22,2000-10-11,781,18.71,76.18,3180,1940,2,1,1,FALSE,Traditional,185,185,Conventional,UNKNOWN,649
Sold,2718 White Oak,2718,White Oak,Houston,77007,29.7818311,-95.388536,65000,60000,1998-09-23,1998-10-26,864,75.23,69.44,6250,1920,2,1,1,FALSE,Traditional,6,6,Conventional,UNKNOWN,1047
Sold,542 Threlkeld,542,Threlkeld,Houston,77007,29.7809876,-95.3882088,66000,61500,1997-08-03,1997-12-02,1071,61.62,57.42,5000,1920,2,1,1,FALSE,Traditional,85,85,Conventional,UNKNOWN,1948
Sold,1404 Wrightwood,1404,Wrightwood,Houston,77009,29.7811304,-95.3713617,64000,62000,1997-06-01,1997-07-18,953,67.16,65.06,5000,1910,2,1,1,FALSE,Traditional,15,15,Conventional,UNKNOWN,767
Sold,438 Columbia,438,Columbia,Houston,77007,29.7792731,-95.3926668,62500,62500,1998-04-11,1998-05-27,884,70.7,70.7,6600,1940,2,1,1,FALSE,Ranch,4,4,Other,UNKNOWN,1597
Sold,710 Ridge,710,Ridge,Houston,77009,29.7827078,-95.3802753,64000,64000,1996-08-29,1997-02-13,780,82.05,82.05,5000,1920,2,1,1,FALSE,Traditional,144,144,Conventional,UNKNOWN,1592
Sold,823 Omar,823,Omar,Houston,77009,29.788283,-95.3817883,74000,65000,1996-11-18,1997-02-24,1014,72.98,64.1,0,1930,2,1,1,FALSE,Traditional,53,53,Cash Sale,UNKNOWN,1450
Sold,709 Merrill,709,Merrill,Houston,77009,29.7890825,-95.3798664,71900,65000,1997-08-10,1997-10-14,1190,60.42,54.62,6250,1920,3,1,1,FALSE,Traditional,52,52,Cash Sale,UNKNOWN,1799
Sold,311 E 8,311,8,Houston,77007,29.7853726,-95.3945891,69500,65700,1999-08-01,1999-10-19,598,116.22,109.87,0,1920,1,1,1,FALSE,Traditional,51,51,FHA,UNKNOWN,2643
Sold,617 Columbia,617,Columbia,Houston,77007,29.7823195,-95.3931576,69900,69000,1999-02-25,1999-06-15,0,0,0,0,0,1,1,1,FALSE,Traditional,26,26,Conventional,UNKNOWN,0
Sold,612 Arlington,612,Arlington,Houston,77007,29.7819788,-95.3937711,79500,70000,1997-02-17,1997-07-22,1732,45.9,40.42,6600,1920,2,2,1,FALSE,Victorian,111,111,Conventional,UNKNOWN,1640
Sold,401 Redan,401,Redan,Houston,77009,29.7899231,-95.3758184,76000,71000,1997-08-01,1997-09-26,1318,57.66,53.87,5120,1910,3,1,1,FALSE,Traditional,22,22,Conventional,UNKNOWN,1617
Sold,811 Redan,811,Redan,Houston,77009,29.7899195,-95.3814612,70000,72000,1997-08-08,1997-09-15,1357,51.58,53.06,6625,1925,3,1,1,FALSE,Traditional,5,5,Conventional,UNKNOWN,1887
Sold,625 Oxford,625,Oxford,Houston,77007,29.7826784,-95.3920942,79000,72600,1998-07-25,1999-07-30,1288,61.34,56.37,6600,1920,2,1,1,FALSE,Victorian,258,258,Conventional,UNKNOWN,1789
Sold,1222 Wrightwood,1222,Wrightwood,Houston,77009,29.781209,-95.36988,74900,73000,1997-09-09,1997-12-15,1039,72.09,70.26,5000,1905,2,1,1,FALSE,Traditional,52,52,FHA,UNKNOWN,918
Sold,2507 White Oak,2507,White Oak,Houston,77009,29.7814479,-95.3846509,77960,74000,1998-09-23,1998-10-16,808,12.99,91.58,6000,1924,2,1,1,FALSE,Traditional,13,13,Cash Sale,UNKNOWN,1660
Sold,112 Payne,112,Payne,Houston,77009,29.7842787,-95.3715661,79900,75000,1997-03-25,1997-05-09,0,0,0,0,0,2,1,1,FALSE,Traditional,19,19,Cash Sale,UNKNOWN,0
Sold,611 E 10 1/2,611,10 1/2,Houston,77008,29.7901635,-95.391542,85000,75000,1998-07-30,1998-08-28,552,13.6,135.87,6250,1920,1,1,1,FALSE,Traditional,4,4,Cash Sale,UNKNOWN,1368
Sold,736 Usener,736,Usener,Houston,77009,29.7809425,-95.3804389,78000,76000,1995-07-20,1997-07-16,1032,75.58,73.64,0,1920,2,1,1,FALSE,Traditional,667,667,Conventional,UNKNOWN,1555
Sold,908 Byrne,908,Byrne,Houston,77009,29.7839176,-95.382688,79900,76000,1998-01-19,1998-02-27,1245,64.18,61.04,5000,1930,2,1,1,FALSE,Traditional,35,35,Conventional,UNKNOWN,1639
Sold,524 Threlkeld,524,Threlkeld,Houston,77007,29.7802995,-95.387943,76000,76500,1999-06-18,1999-09-02,1269,59.89,60.28,0,1920,2,1,1,FALSE,Traditional,73,73,Conventional,UNKNOWN,0
Sold,617 Columbia,617,Columbia,Houston,77007,29.7823195,-95.3931576,80000,77500,1998-05-19,1998-06-30,615,13.86,126.02,5770,1900,1,1,1,FALSE,Traditional,3,3,Cash Sale,UNKNOWN,967
Sold,619 Wendel,619,Wendel,Houston,77009,29.7824002,-95.3789668,109900,78000,2001-04-30,2001-10-11,1032,22.9,75.58,4800,1920,2,1,1,FALSE,Mediterranean,143,143,Cash Sale,UNKNOWN,3714
Sold,811 Wendel,811,Wendel,Houston,77009,29.7823974,-95.3812567,99900,78000,1997-01-10,1997-03-27,819,121.98,95.24,50,1927,2,1,1,FALSE,Traditional,70,70,FHA,UNKNOWN,1500
Sold,430 Heights,430,Heights,Houston,77007,29.7505454,-95.4494651,82900,78000,1997-07-10,1997-11-26,918,90.31,84.97,7500,1947,2,1,1,FALSE,Traditional,105,105,Conventional,UNKNOWN,1644
Sold,908 Pecore,908,Pecore,Houston,77009,29.7903289,-95.3824835,79900,79900,1997-06-12,1997-10-23,1232,64.85,64.85,6250,1920,3,2,1,FALSE,Traditional,125,125,Conventional,UNKNOWN,1801
Sold,525 Granberry,525,Granberry,Houston,77008,29.7803232,-95.390131,85000,80000,1997-09-28,1998-02-27,1064,79.89,75.19,5000,1920,2,1,1,FALSE,Traditional,65,65,Conventional,UNKNOWN,1657
Sold,636 Cortlandt,636,Cortlandt,Houston,77007,29.7827906,-95.3948754,89900,81500,1996-10-07,1997-02-19,1076,83.55,75.74,6600,1920,2,1,1,FALSE,Traditional,116,116,Conventional,UNKNOWN,1724
Sold,538 Frasier,538,Frasier,Houston,77007,29.7812569,-95.3904582,92500,82000,2000-08-28,2001-06-05,1163,79.54,70.51,5000,1920,2,1,1,FALSE,Traditional,277,277,Conventional,UNKNOWN,1761
Sold,1136 Omar,1136,Omar,Houston,77009,29.7878683,-95.3875545,85000,82000,1997-08-01,1998-02-03,1352,62.87,60.65,7000,1928,2,2,1,FALSE,Traditional,131,131,Conventional,UNKNOWN,2375
Sold,1032 Oxford,1032,Oxford,Houston,77008,29.790222,-95.391767,83800,82900,1999-09-02,1999-11-03,1318,13.52,62.9,6200,1920,3,1,1,FALSE,Traditional,25,25,Conventional,UNKNOWN,1413
Sold,527 Harvard,527,Harvard,Houston,77007,29.7806514,-95.3964706,84600,83000,1997-12-04,1998-02-27,1104,76.63,75.18,6600,1920,2,1.1,1,FALSE,Traditional,71,71,Conventional,UNKNOWN,1321
Sold,528 Arlington,528,Arlington,Houston,77007,29.7804039,-95.3936893,84500,84500,1998-01-22,1998-05-08,924,91.45,91.45,6600,1920,2,1,1,FALSE,Traditional,82,82,Conventional,UNKNOWN,1410
Sold,2617 White Oak,2617,White Oak,Houston,77009,29.7814493,-95.3867911,89500,84650,1999-06-23,1999-10-28,840,106.55,100.77,5000,1930,2,1,1,FALSE,Traditional,107,107,Conventional,UNKNOWN,2012
Sold,413 Redan,413,Redan,Houston,77009,29.789955,-95.3761455,89900,85000,1996-10-08,1997-07-29,1144,78.58,74.3,5120,1920,2,1,1,FALSE,Traditional,265,265,Conventional,UNKNOWN,1680
Sold,743 E 6 1/2,743,6 1/2,Houston,77007,29.782798,-95.388047,88000,85000,1998-08-24,1999-02-25,982,89.61,86.56,6250,1920,2,1,1,FALSE,Traditional,146,146,Conventional,UNKNOWN,1337
Sold,334 Cortlandt,334,Cortlandt,Houston,77007,29.7773784,-95.3947884,85000,85000,1997-10-30,1997-12-01,1032,82.36,82.36,6600,1920,2,1,1,FALSE,Traditional,11,11,Conventional,UNKNOWN,1280
Sold,819 Arlington,819,Arlington,Houston,77007,29.785922,-95.3943846,99000,85000,1997-07-02,1997-11-14,1152,85.94,73.78,6600,1931,2,1,1,FALSE,Victorian,87,87,Conventional,UNKNOWN,1727
Sold,604 E 13 1/2,604,13 1/2,Houston,77008,29.7953932,-95.3911695,94500,85800,1999-12-15,2000-05-26,816,115.81,105.15,3270,1923,1,1,1,FALSE,Traditional,63,63,FHA,UNKNOWN,1416
Sold,2627 White Oak,2627,White Oak,Houston,77009,29.7814794,-95.3871592,85950,85950,1999-07-01,1999-08-06,816,105.33,105.33,5000,1924,2,1,1,FALSE,Traditional,0,0,Conventional,UNKNOWN,1870
Sold,715 E 8TH 1/2,715,8TH 1/2,Houston,77007,29.7864457,-95.3892415,89900,86000,1999-05-07,1999-06-17,956,94.04,89.96,0,1920,2,1,1,FALSE,Victorian,25,25,Conventional,UNKNOWN,0
Sold,1039 Columbia,1039,Columbia,Houston,77008,29.7903408,-95.3932803,99000,87500,1998-09-14,1999-04-30,2491,15,35.13,6600,1920,3,1,1,FALSE,Traditional,140,140,Conventional,UNKNOWN,1862
Sold,537 Granberry,537,Granberry,Houston,77059,29.6088604,-95.1327829,89500,87750,1997-04-30,1997-06-30,1374,65.14,63.86,5000,1920,2,2,1,FALSE,Traditional,20,20,FHA,UNKNOWN,1578
Sold,825 Columbia,825,Columbia,Houston,77007,29.7861924,-95.3932803,94900,88200,1997-01-29,1997-06-18,927,102.37,95.15,6600,1920,2,1,1,FALSE,"Traditional, Victorian",76,76,Other,UNKNOWN,1781
Sold,1046 Usener*,1046,Usener*,Houston,77009,29.7806172,-95.3860567,89900,89000,1996-11-01,1997-02-24,1176,76.45,75.68,5500,1920,2,1,1,FALSE,Traditional,94,94,Conventional,UNKNOWN,2202
Sold,1127 E 7th,1127,7th,Houston,77008,29.7836897,-95.3871864,89900,89000,1997-05-18,1997-06-16,1368,65.72,65.06,6600,1920,3,1,1,FALSE,Traditional,26,26,Cash Sale,UNKNOWN,1735
Sold,918 Harvard,918,Harvard,Houston,77008,29.7877258,-95.3960411,89500,89500,1999-02-02,1999-03-11,1821,49.15,49.15,6600,1920,3,2,1,FALSE,Traditional,27,27,Conventional,UNKNOWN,2133
Sold,920 Redan,920,Redan,Houston,77009,29.7894924,-95.3830969,89900,89500,1997-12-08,1997-12-19,1166,77.1,76.76,6250,1925,2,1,1,FALSE,Victorian,0,0,Cash Sale,UNKNOWN,1928
Sold,113 W 5,113,5,Houston,77007,29.7797714,-95.3981476,99900,90000,2004-11-03,2005-03-03,863,115.76,104.29,1600,0,2,1,1,FALSE,Traditional,30,30,Conventional,UNKNOWN,0
Sold,1123 Usener,1123,Usener,Houston,77009,29.7810809,-95.3869569,105000,90000,2001-02-01,2001-03-20,1280,18.92,70.31,5550,1953,2,1,1,FALSE,Traditional,31,31,Cash Sale,UNKNOWN,3305
Sold,306 Teetshorn,306,Teetshorn,Houston,77009,29.7835867,-95.3752868,99900,90000,1997-03-08,1997-07-14,1602,62.36,56.18,4500,1920,2,2,1,FALSE,Traditional,94,94,Conventional,UNKNOWN,1755
Sold,501 Oxford,501,Oxford,Houston,77007,29.7798859,-95.3920124,99999,90000,1998-07-17,1999-03-15,1080,92.59,83.33,6600,1912,3,1,1,FALSE,Other Style,0,0,Conventional,UNKNOWN,1547
Sold,610 E 7,610,7,Houston,77008,29.783139,-95.391363,86000,90000,1999-03-25,1999-04-27,1392,61.78,64.66,6250,1920,2,1.1,1,FALSE,Traditional,7,7,Cash Sale,UNKNOWN,1375
Sold,440 Heights,440,Heights,Houston,77007,29.76264,-95.364567,119000,90000,1997-07-06,1998-04-01,2020,58.91,44.55,7500,1930,3,1,1,FALSE,Traditional,268,268,Cash Sale,UNKNOWN,1606
Sold,608 Redan,608,Redan,Houston,77009,29.7896014,-95.3781899,95000,90000,1997-04-29,1997-07-31,1099,86.44,81.89,5000,1920,2,1,1,FALSE,Traditional,48,48,Conventional,UNKNOWN,1931
Sold,210 Payne Street,210,Payne,Houston,77009,29.7842899,-95.370176,90500,90500,2010-07-23,2010-09-21,1190,76.05,76.05,5100,1920,2,1,1,FALSE,Traditional,3,94,Cash Sale,FALSE,4467
Sold,722 Redan,722,Redan,Houston,77009,29.7895368,-95.3803367,98500,91000,1996-09-23,1997-02-25,1076,91.54,84.57,6250,1920,2,1,1,FALSE,Traditional,117,117,Conventional,UNKNOWN,1956
Sold,502 Redan,502,Redan,Houston,77009,29.7895342,-95.3765135,92000,91000,1999-03-04,1999-04-15,832,110.58,109.38,5070,1925,2,1,1,FALSE,Traditional,10,10,FHA,UNKNOWN,1619
Sold,2807 Houston Avenue,2807,Houston,Houston,77009,29.7837528,-95.3723021,95000,91000,1999-02-10,1999-06-25,1440,65.97,63.19,5000,1920,2,1,1,FALSE,Traditional,6,6,Conventional,UNKNOWN,1781
Sold,542 Arlington,542,Arlington,Houston,77007,29.781391,-95.393812,94000,91500,1996-12-13,1997-06-30,1600,58.75,57.19,3600,1930,2,2,1.5,FALSE,Traditional,166,166,Conventional,UNKNOWN,1727
Sold,729 Teetshorn,729,Teetshorn,Houston,77009,29.7838236,-95.3805616,97500,91500,1996-11-18,1997-02-18,1188,82.07,77.02,5350,1951,2,1,1,FALSE,Contemporary/Modern,81,81,Conventional,UNKNOWN,2082
Sold,3516 Pineridge,3516,Pineridge,Houston,77009,29.7894593,-95.3850189,88900,91500,1997-07-10,1997-08-15,1129,78.74,81.05,5350,1929,2,1,1,FALSE,Traditional,35,35,Conventional,UNKNOWN,2136
Sold,2813 Houston,2813,Houston,Houston,77009,29.7901812,-95.3677844,109900,92000,1998-03-11,1998-06-05,1192,21.98,77.18,5000,1920,3,2,1,FALSE,Traditional,69,69,Conventional,UNKNOWN,1274
Sold,829 Oxford,829,Oxford,Houston,77007,29.7863392,-95.3921657,94500,92000,1997-08-18,1998-03-18,832,113.58,110.58,4884,1920,2,1,1,FALSE,Other Style,189,189,Cash Sale,UNKNOWN,0
Sold,618 Wendel,618,Wendel,Houston,77009,29.7820461,-95.3788033,94900,92000,1997-04-03,1997-06-13,0,0,0,5000,1920,2,1,1,FALSE,Traditional,59,59,Conventional,UNKNOWN,1647
Sold,620 E 6 1/2,620,6 1/2,Houston,77007,29.7822757,-95.3909081,94900,92500,1999-07-23,1999-10-15,1297,73.17,71.32,4688,1920,2,1,1,FALSE,Traditional,83,83,FHA,UNKNOWN,1617
